Employee ID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E02002,Kai Le,Controls Engineer,Engineering,Manufacturing,Male,Asian,47,05-02-2022,92368.00,0%,United States,Columbus,
E02003,Robert Patel,Analyst,Sales,Corporate,Male,Asian,58,23-10-2013,45703.00,0%,United States,Chicago,
E02004,Cameron Lo,Network Administrator,IT,Research & Development,Male,Asian,34,24-03-2019,83576.00,0%,China,Shanghai,
E02005,Harper Castillo,IT Systems Architect,IT,Corporate,Female,Latino,39,07-04-2018,98062.00,0%,United States,Seattle,
E02006,Harper Dominguez,Director,Engineering,Corporate,Female,Latino,42,18-06-2005,175391.00,24%,United States,Austin,
E02007,Ezra Vu,Network Administrator,IT,Manufacturing,Male,Asian,62,22-04-2004,66227.00,0%,United States,Phoenix,14-02-2014
E02008,Jade Hu,Sr. Analyst,Accounting,Specialty Products,Female,Asian,58,27-06-2009,89744.00,0%,China,Chongqing,
E02009,Miles Chang,Analyst II,Finance,Corporate,Male,Asian,62,19-02-1999,69674.00,0%,China,Chengdu,
E02010,Gianna Holmes,System Administrator ,IT,Manufacturing,Female,Caucasian,38,09-09-2011,97630.00,0%,United States,Seattle,
E02011,Jameson Thomas,Manager,Finance,Specialty Products,Male,Caucasian,52,05-02-2015,105879.00,10%,United States,Miami,
E02012,Jameson Pena,Systems Analyst,IT,Manufacturing,Male,Latino,49,12-10-2003,40499.00,0%,United States,Miami,
E02013,Bella Wu,Sr. Analyst,Finance,Specialty Products,Female,Asian,63,03-08-2014,71418.00,0%,United States,Phoenix,
E02014,Jose Wong,Director,IT,Manufacturing,Male,Asian,45,15-11-2017,150558.00,23%,China,Chongqing,
E02015,Lucas Richardson,Manager,Marketing,Corporate,Male,Caucasian,36,22-07-2018,118912.00,8%,United States,Miami,
E02016,Jacob Moore,Sr. Manager,Marketing,Corporate,Male,Black,42,24-03-2021,131422.00,15%,United States,Phoenix,
E02017,Luna Lu,IT Systems Architect,IT,Corporate,Female,Asian,62,26-07-1997,64208.00,0%,United States,Miami,
E02018,Bella Tran,Vice President,Engineering,Specialty Products,Female,Asian,45,05-08-2010,254486.00,33%,China,Chengdu,
E02019,Ivy Chau,Analyst,Sales,Specialty Products,Female,Asian,61,03-03-2019,54811.00,0%,China,Chongqing,
E02020,Jordan Kumar,Service Desk Analyst,IT,Specialty Products,Male,Asian,29,11-11-2017,95729.00,0%,United States,Seattle,
E02021,Sophia Gutierrez,Manager,Accounting,Specialty Products,Female,Latino,63,08-02-2009,102649.00,6%,United States,Austin,
E02022,Eli Dang,Sr. Manager,Accounting,Specialty Products,Male,Asian,45,16-11-2015,122875.00,12%,United States,Chicago,
E02023,Lillian Lewis,Technical Architect,IT,Research & Development,Female,Black,43,14-08-2013,83323.00,0%,United States,Phoenix,31-03-2019
E02024,Serenity Cao,Account Representative,Sales,Manufacturing,Female,Asian,31,21-10-2018,66721.00,0%,China,Shanghai,
E02025,Parker Lai,Vice President,Accounting,Specialty Products,Male,Asian,48,29-11-2006,246400.00,36%,China,Chongqing,
E02026,Charles Simmons,Manager,Sales,Specialty Products,Male,Caucasian,55,27-10-1997,113525.00,6%,United States,Miami,
E02027,Jayden Luu,Director,Accounting,Manufacturing,Male,Asian,64,13-05-2004,184342.00,22%,China,Beijing,
E02028,Brooks Richardson,Director,Marketing,Specialty Products,Male,Caucasian,58,24-11-2020,151341.00,22%,United States,Seattle,
E02029,Ivy Thompson,Manager,Marketing,Manufacturing,Female,Caucasian,50,11-08-2004,118900.00,5%,United States,Seattle,
E02030,Peyton Wright,Sr. Manager,Marketing,Corporate,Female,Black,41,13-05-2017,153370.00,10%,United States,Chicago,
E02031,Wyatt Dinh,System Administrator ,IT,Specialty Products,Male,Asian,50,15-03-2002,72860.00,0%,China,Shanghai,
E02032,Ruby Alexander,Vice President,Finance,Research & Development,Female,Caucasian,59,13-08-2001,255610.00,36%,United States,Phoenix,
E02033,Axel Oh,Sr. Analyst,Sales,Corporate,Male,Asian,26,24-10-2020,84962.00,0%,China,Chengdu,
E02034,Axel Ramirez,Manager,Human Resources,Specialty Products,Male,Latino,55,04-12-2017,103795.00,7%,United States,Seattle,
E02035,Liliana Chang,Service Desk Analyst,IT,Corporate,Female,Asian,32,11-01-2018,97509.00,0%,China,Shanghai,
E02036,Leonardo Carter,Business Partner,Human Resources,Specialty Products,Male,Caucasian,50,07-09-2022,54931.00,0%,United States,Austin,
E02037,Landon Gonzales,Test Engineer,Engineering,Specialty Products,Male,Latino,54,30-08-2009,88689.00,0%,United States,Phoenix,
E02038,Amelia Dominguez,Sr. Manager,Accounting,Corporate,Female,Latino,31,23-09-2015,158184.00,15%,Brazil,Rio de Janeiro,27-07-2018
E02039,Silas Ross,Analyst,Marketing,Research & Development,Male,Caucasian,47,10-02-2016,48523.00,0%,United States,Austin,
E02040,Jeremiah Cheng,Sr. Analyst,Marketing,Specialty Products,Male,Asian,26,05-02-2022,70946.00,0%,China,Shanghai,
E02041,Chloe Chin,Sr. Manager,Finance,Specialty Products,Female,Asian,62,13-11-2021,134487.00,10%,United States,Seattle,
